opportunity_id,vertical,op_part
137857,pvc,1
137866,painting,1
138035,custom,1
138046,lacquering,1
138082,laminate,1
138236,parquet,1
138273,painting,-0.2132
138277,lacquering,1
138371,painting,0
138400,painting,1
138408,painting,0.0077
138408,custom,0.1417
138408,wallpapering,0.8506
138585,painting,1
138622,painting,1
138742,painting,0.069
138742,lacquering,0.9309
138804,wallpapering,-0.5652
138804,painting,0.7826
139113,laminate,1
139141,custom,0.0526
139141,lacquering,0.0948
139141,painting,0.8526
139166,painting,1
139213,painting,0.025
139213,plastering,0.225
139279,painting,1
139293,painting,0.221
139293,custom,0.7789
139305,lacquering,0.0989
139305,painting,0.0594
139305,custom,0.2308
139305,pvc,0.1242
139349,custom,0.1433
139349,pvc,0.8566
139354,painting,0
139354,custom,1.0001
139458,laminate,1
139538,painting,0.2191
139538,custom,0.3166
139538,wallpapering,0.4643
139546,painting,0.2082
139546,plastering,0.7918
139598,lacquering,1
139600,custom,1
139631,custom,0.2
139631,lacquering,0.8
139830,vinyl,1
139883,painting,0.9999
139911,lacquering,1
140109,wallpapering,0.9999
140110,wallpapering,1
140213,laminate,1
140239,plastering,1
140403,custom,1
140468,painting,1
140520,painting,1
140550,custom,0.4312
140550,painting,0.5688
140596,painting,1
140597,painting,1
140633,lacquering,0.311
140633,painting,0.689
140747,painting,1
140802,painting,1
140881,painting,1
140907,painting,1
140924,lacquering,1
140932,custom,0.399
140994,parquet,1
141002,painting,1
141045,custom,1
141073,laminate,0.1847
141073,wallpapering,0.1919
141073,painting,0.6234
141117,painting,0
141117,wallpapering,1
141132,painting,1
141174,painting,1
141199,plastering,-0.6558
141199,custom,0.1053
141199,painting,0.6025
141204,laminate,1
141323,painting,1
141325,painting,1
141358,painting,-0.287
141358,custom,0.7657
141622,custom,1
141673,painting,1
141704,painting,1
141716,painting,1
141775,custom,0.9999
141788,custom,0
141831,custom,0
141831,lacquering,0.2898
141831,painting,0.7102
141910,custom,0.1538
141910,painting,0.8462
141996,custom,0
141996,plastering,0
141999,custom,0.3714
141999,painting,0.6286
142016,lacquering,1
142064,parquet,1
142083,wallpapering,0.3948
142083,painting,0.6052
142130,custom,0
142130,wallpapering,0
142130,painting,0
142214,painting,0.9998
142286,custom,1
142341,painting,1
142456,custom,1
142559,parquet,1
142568,painting,1
142575,carpet,1
142638,custom,1
142664,parquet,1
142676,painting,0.2155
142676,wallpapering,0.7844
142751,painting,0.1757
142751,wallpapering,0.8243
142763,lacquering,1
142765,painting,0.159
142765,custom,0.841
142905,custom,1
142926,painting,1
142985,custom,0.2337
142986,floor_tiling,0
142986,wallpapering,0
142986,custom,0
143150,custom,1
143227,painting,1
143251,lacquering,0.255
143251,painting,0.745
143385,painting,1
143440,wall_tiling,0.1666
143440,floor_tiling,0.8335
143549,custom,1
143575,custom,0.039
143575,lacquering,0.961
143583,custom,1
143632,custom,0.0753
143632,painting,-0.0753
143636,painting,0.2048
143636,wallpapering,0.7951
143647,pvc,1
143682,wallpapering,0
143682,custom,0
144042,painting,1
144175,painting,1
144213,parquet,1
144222,pvc,-0.1498
144222,laminate,-0.7662
144288,parquet,1
144381,painting,1
144440,plastering,1.0001
144504,painting,1
144745,custom,1
145109,custom,1
145542,painting,1
145720,painting,0.4597
145720,wallpapering,0.5404
145744,lacquering,1
145814,painting,1
145854,painting,1
145903,wallpapering,1
145936,parquet,0.4086
145936,painting,0.5914
145980,wallpapering,0.2965
145980,painting,0.7035
146056,lacquering,8.32667268468867e-17
146056,painting,1
146100,painting,0.1387
146100,custom,0.2769
146100,wallpapering,0.5845
146130,painting,1
146344,painting,1
146346,custom,0.1002
146346,parquet,0.8998
146379,painting,1
146407,parquet,1
146422,laminate,2.22044604925031e-16
146422,painting,1
146440,wallpapering,1
146529,painting,1
146552,pvc,-1.11022302462516e-16
146552,vinyl,0
146552,custom,1
146689,custom,0.9999
146733,custom,1
146814,lacquering,0.0428
146814,painting,0.9573
146818,custom,0.1302
146818,wallpapering,-0.5227
146818,painting,0.2202
146878,lacquering,0.3698
146878,painting,0.6302
146952,painting,0.9998
147001,painting,1
147003,custom,0.0924
147003,painting,0.9075
147031,custom,1
147113,lacquering,0.1648
147113,parquet,0.3024
147113,painting,0.5328
147119,painting,1
147209,laminate,1
147230,laminate,1
147286,painting,1
147296,wallpapering,0.1542
147296,painting,0.8459
147322,painting,1
147355,painting,1
147546,painting,0.9999
147643,painting,1
147702,custom,0.0634
147702,painting,0.366
147757,painting,0.3955
147757,wallpapering,0.6046
147787,painting,1
147808,lacquering,-0.9144
147808,painting,1
147865,painting,1
147876,painting,0.4359
147876,wallpapering,0.5641
147914,wallpapering,0.4222
147914,painting,0.5778
147944,custom,0
147944,painting,0
148179,wallpapering,0.2979
148179,painting,0.7021
148208,lacquering,0.3834
148208,painting,0.6167
148283,painting,1
148312,wallpapering,1
148376,custom,1
148391,painting,1
148452,pvc,-1.38777878078145e-17
148452,carpet,5.55111512312578e-17
148452,floor_tiling,0.1819
148452,custom,0.8181
148639,painting,0.9998
148683,custom,0.1019
148683,parquet,0.8981
148688,painting,0.2795
148688,lacquering,0.7205
148706,custom,0
148706,wallpapering,1
148756,painting,0.4136
148768,carpet,0
148768,custom,0.9999
148788,painting,1
148902,painting,1
148904,painting,0.3788
148904,wallpapering,0.6211
148925,painting,1
149052,lacquering,1
149087,wallpapering,0.2141
149087,custom,0.7859
149098,painting,1
149184,painting,0.3597
149184,lacquering,0.6404
149192,painting,1
149286,custom,1
149444,painting,1.0001
149895,custom,0.2292
149895,wallpapering,0.7708
149925,laminate,1
150037,wallpapering,0.4603
150037,painting,0.5398
150081,wallpapering,0.3079
150081,painting,0.6922
150238,wallpapering,1
150291,custom,-0.0399
150291,laminate,0.4694
150291,painting,0.5705
150308,custom,1
150362,custom,0.0535
150362,painting,0.4182
150362,plastering,0.5284
150390,carpet,1
150391,carpet,1
150442,painting,0.9999
150450,painting,0.9999
150471,carpet,1
150550,painting,1
150668,custom,1
150684,painting,1
150736,painting,1
150845,painting,0.9999
151006,painting,0.3653
151006,wallpapering,0.6347
151080,wallpapering,1
151146,wallpapering,0.056
151146,custom,0.1798
151146,painting,0.7644
151182,painting,0.2004
151182,wallpapering,0.7997
151196,wallpapering,0.0463
151196,lacquering,0.2184
151196,painting,0.7354
151201,painting,0.3438
151201,wallpapering,0.6563
151455,painting,1
151459,constructional_plastering,0.9999
151528,painting,0.9999
151642,painting,1
151657,painting,1
151671,painting,1
151692,custom,1
151765,floor_tiling,1
151766,painting,1
151862,plastering,1
151897,painting,0.4787
151897,lacquering,0.5213
151970,painting,0.9999
151992,wallpapering,1
152007,custom,1
152036,painting,1
152105,lacquering,0.9999
152138,painting,1
152198,custom,0.0684
152198,wallpapering,0.094
152198,carpet,0.2968
152198,painting,0.5409
152202,painting,1
152212,painting,1
152256,painting,1
152271,painting,1
152655,painting,0.2881
152655,wallpapering,0.7119
152657,floor_tiling,1
152657,custom,0
152662,painting,1
152688,plastering,1
152755,constructional_plastering,1
152791,painting,1
152806,parquet,1
152809,wallpapering,1
152817,painting,-1
152817,custom,1
152826,painting,1
152846,custom,1
152928,painting,1
153050,custom,0.0728
153050,painting,0.2835
153050,wallpapering,0.6437
153059,lacquering,1.0001
153060,painting,1
153085,painting,1
153158,painting,1
153165,lacquering,1
153222,lacquering,1
153229,lacquering,1.0001
153332,parquet,1
153341,painting,0.4995
153341,wallpapering,0.5006
153377,painting,1
153621,custom,1
153653,parquet,1
153871,wallpapering,0.445
153871,painting,0.555
154019,custom,0.2148
154019,painting,0.7852
154231,painting,0.3736
154231,custom,0.6265
154242,painting,1
154266,painting,1
154290,painting,1
154442,custom,1
154489,painting,1
154587,painting,1
154598,painting,1
154629,painting,1
154643,painting,0.3547
154643,wallpapering,0.6454
154734,painting,0.9999
154760,custom,0.2618
154760,painting,0.3631
154760,wallpapering,0.3751
154808,painting,0.1391
154808,laminate,0.8609
154825,custom,0.1197
154825,painting,0.8803
154871,custom,-0.0541
154871,painting,-1.38777878078145e-17
154871,scaffolding,0.2575
154871,exterior_painting,0.7966
154936,painting,1
154963,lacquering,-0.3315
154963,painting,-0.245
154963,custom,0.5764
155078,painting,0.1826
155078,custom,0.8173
155146,custom,1
155220,vinyl,1
155460,painting,0.1408
155460,wallpapering,0.8592
155488,parquet,1
155530,painting,1
155547,wallpapering,1
155567,custom,1
155613,painting,1
155639,custom,0.9999
155644,painting,1
155691,lacquering,-5.55111512312578e-17
155691,painting,1
155780,wallpapering,1
155927,custom,0.071
156012,wallpapering,0.0215
156012,painting,0.9785
156089,painting,1
156193,wallpapering,0.3663
156193,painting,0.6338
156197,painting,0.1278
156197,custom,0.8723
156239,wallpapering,0.488
156239,painting,0.5121
156255,painting,0.3964
156255,wallpapering,0.6036
156263,custom,1
156320,wallpapering,0.3706
156320,painting,0.6293
156470,custom,0
156470,painting,0
156470,plastering,-0.0003
156470,lacquering,-1.10182045778839e-17
156494,painting,1
156552,lacquering,0.1243
156552,painting,0.8757
156552,custom,0
156908,painting,1
156924,painting,1
156969,painting,1
157037,wallpapering,0.1443
157037,painting,0.8556
157069,custom,1
157111,painting,1
157159,wall_tiling,5.55111512312578e-17
157159,custom,1
157244,painting,0.1445
157244,lacquering,0.8555
157354,custom,1
157434,painting,0
157434,custom,1
157447,laminate,1
157454,painting,1
157470,custom,0.256
157470,painting,0.744
157551,custom,1
157567,painting,1
157657,custom,0.3704
157657,parquet,0.6295
157698,painting,0.1841
157698,parquet,0.8158
157807,painting,1.0001
157840,painting,1
157849,painting,1
157868,scaffolding,0.2676
157868,exterior_painting,0.7324
158749,lacquering,0
158749,painting,1
158899,painting,0.9999
158934,painting,1
158951,wallpapering,0.1829
158951,painting,0.817
159022,painting,1
159030,custom,0.0906
159030,painting,0.2686
159030,wallpapering,0.6408
159049,lacquering,0.0803
159049,painting,0.1501
159049,wallpapering,0.7696
159161,lacquering,0
159161,painting,1
159229,parquet,0.2389
159229,custom,0.7611
159249,lacquering,1
159361,painting,1
159365,parquet,1
159404,painting,1
159409,painting,0.1313
159409,laminate,0.8687
159458,custom,1
159471,lacquering,1
159548,custom,1
159586,custom,0
159586,vinyl,6.24500451351651e-17
159586,carpet,1.0001
159601,painting,1
159650,wallpapering,0.0423
159650,painting,0.9577
159700,wall_tiling,0.1446
159700,floor_tiling,0.8554
159925,lacquering,1
160109,custom,0.9999
160157,painting,1
160191,painting,1
160194,scaffolding,0.2837
160194,painting,0.7164
160226,painting,1
160231,painting,1
160257,custom,1
160296,painting,1
160345,custom,0.1769
160345,carpet,0.2618
160355,lacquering,1
160657,painting,1
160730,lacquering,1
160754,wallpapering,1
160881,painting,1
160989,lacquering,0
160989,painting,1
161077,wallpapering,0.2584
161077,painting,0.7418
161086,painting,1
161101,custom,1
161111,wallpapering,1
161149,custom,0.2453
161149,painting,-8.67361737988404e-19
161149,lacquering,-0.24
161152,painting,1
161160,custom,0
161160,painting,1
161272,plastering,1
161325,painting,0.9999
161371,painting,1
161485,wallpapering,0.2218
161485,painting,0.7783
161524,pvc,1
161524,painting,0
161542,custom,1
161552,painting,0.9999
161659,custom,0.3383
161659,exterior_painting,0.6617
161713,custom,1
161727,custom,0.0683
161727,painting,0.9317
161756,custom,0.1108
161756,plastering,-0.4395
161756,lacquering,-0.0462
161756,painting,0.3748
161775,custom,1
161801,painting,1
161803,pvc,1
161820,painting,1
161853,lacquering,1
161904,carpet,0.0829
161904,laminate,0.9171
161956,laminate,1
161995,custom,1
162038,painting,1
162168,wallpapering,1
162206,constructional_plastering,1
162226,laminate,1
162255,painting,1
162288,custom,0.494
162288,painting,0.506
162291,laminate,1
162324,painting,1
162341,lacquering,1
162374,painting,1
162386,custom,0.2929
162386,exterior_painting,0.7071
162547,lacquering,1.0001
162560,custom,0.2186
162560,painting,0.7815
162728,custom,1
162728,constructional_plastering,0
162952,carpet,0.1806
162952,painting,0.8194
163286,painting,1
163483,painting,0.0441
163483,paint_outside_items,0.2192
163483,custom,0.2503
163483,lacquering,0.4863
163488,laminate,1
163522,painting,0.3906
163522,wallpapering,0.6094
163543,scaffolding,0.1689
163543,exterior_painting,0.8311
163545,scaffolding,0.0656
163545,exterior_painting,0.9344
163598,painting,1
163621,painting,1
163663,custom,0.0051
163663,parquet,0.995
163752,custom,1
163797,wallpapering,1
163812,lacquering,0.1299
163812,painting,0.8701
163828,wallpapering,0.7301
163828,painting,0.2698
163845,lacquering,1
163853,laminate,1
164111,wallpapering,1
164216,lacquering,0.3251
164216,painting,0.6749
164401,painting,1
164457,painting,0.503
164457,lacquering,0.497
164725,painting,0.1562
164725,lacquering,0.8439
164774,parquet,1
164778,lacquering,6.93889390390723e-17
164778,painting,1
164815,painting,1
164844,pvc,1
164914,custom,1
164914,plastering,0
164932,custom,0
164932,lacquering,1
164934,lacquering,0.4646
164934,painting,0.5355
164963,laminate,1
164985,exterior_painting,2.77555756156289e-17
164985,lacquering,0.2646
164985,painting,0.7355
165033,painting,0.455
165033,wallpapering,0.545
165129,custom,1
165172,custom,-6.93889390390723e-17
165172,constructional_plastering,1
165235,painting,1
165341,custom,0.4552
165341,parquet,0.5448
165384,carpet,1
165408,vinyl,1
165438,painting,1
165443,custom,1
165532,wall_tiling,0.0135
165532,floor_tiling,0.0336
165532,custom,0.0365
165532,lacquering,0.1158
165532,parquet,0.2786
165532,painting,0.5219
165537,painting,0.0313
165537,paint_outside_items,0.154
165537,lacquering,0.8147
165556,custom,0.0687
165556,lacquering,0.9313
165654,painting,1
165672,custom,1
165713,painting,-0.543
165757,vinyl,0.4537
165757,painting,0.5463
165836,painting,1
165907,floor_tiling,1
166048,painting,1
166113,painting,1.0001
166128,painting,1
166240,laminate,1
166258,painting,1
166260,painting,1
166339,wallpapering,1
166473,painting,1
166557,custom,1
166626,painting,0.4967
166626,wallpapering,0.5033
166813,custom,0.1229
166813,lacquering,0.8771
166909,custom,0.0315
166909,lacquering,0.9686
166954,painting,1.0001
166982,painting,1
167081,wallpapering,0.0279
167081,laminate,0.0354
167081,lacquering,0.3305
167081,painting,0.6062
167106,wallpapering,1
167149,lacquering,1
167222,painting,1
167241,painting,1
167285,floor_tiling,1
167314,lacquering,1
167322,custom,-0.0531
167322,painting,1.0531
167337,painting,1
167359,painting,1
167418,paint_outside_items,0.1117
167418,lacquering,0.8884
167565,laminate,1
167567,wallpapering,1
167719,painting,1
167737,painting,0.2902
167737,wallpapering,0.7098
167777,laminate,0.6583
167826,painting,0.3342
167826,custom,0.6658
167846,painting,1
167873,painting,0.1817
167873,wallpapering,0.3285
167873,lacquering,0.4898
